,2002_IDH,2002_Suicídios,2002_iUsers
Afghanistan,0.373,6.867054,0.004092113721927
Albania,0.674,2.792918,0.39008127343332
Algeria,0.663,3.754641,1.59164126035832
Angola,0.406,11.94146,0.270376745595134
Argentina,0.77,8.399384,10.8821243775325
Armenia,0.657,3.223157,1.9604050458212
Austria,0.837,15.15603,36.564985069829
Azerbaijan,0.659,4.718285,5.06597436141432
Bahamas,0.783,3.141181,18.0
Bahrain,0.798,3.881184,18.0507208881153
Bangladesh,0.484,14.7468,0.13992028850905
Barbados,0.753,3.996051,27.836322424146
Belarus,0.695,29.54302,8.98558744887689
Belgium,0.878,17.61622,45.9768569896693
Belize,0.684,3.146572,5.62995932699631
Benin,0.416,6.626652,0.7029455951039
Bolivia,0.617,2.206954,3.11719294696997
Botswana,0.567,7.453454,3.38592235064273
Brazil,0.699,4.564688,9.14942508560748
Brunei,0.823,1.450894,15.329879855735
Bulgaria,0.729,12.3741,9.10792383981228
Burundi,0.276,10.84354,0.118228412267794
Cambodia,0.445,5.028395,0.226983237666204
Cameroon,0.452,6.682539,0.360871584267755
Canada,0.877,10.46119,61.4356473674186
Cape Verde,0.572,3.929598,3.5187571749658
Chad,0.284,7.292041,0.166069664674347
Chile,0.775,10.2641,22.1
China,0.61,21.20328,4.61556660668374
Colombia,0.659,5.728444,4.6
"Congo, Dem. Rep.",0.339,7.346663,0.092790702460692
"Congo, Rep.",0.492,9.821898,0.157249517243982
Costa Rica,0.715,7.162079,19.8948511346293
Cote d'Ivoire,0.398,15.30599,0.497929360753307
Croatia,0.765,15.20331,17.864052
Cuba,0.694,12.36816,3.77058503769014
Cyprus,0.815,0.6061239,28.32
Denmark,0.882,10.18429,64.1851755072749
Djibouti,0.378,5.495998,0.48697170451894
Dominica,0.698,0.0,18.4248927671241
Ecuador,0.679,6.129993,4.26079691519764
Egypt,0.621,1.748405,2.71999971465421
El Salvador,0.628,9.342705,1.9
Equatorial Guinea,0.554,7.288387,0.321197997152044
Estonia,0.798,23.85851,41.4588802364711
Ethiopia,0.306,5.404214,0.07240226186983
Fiji,0.689,4.056887,6.15264970011985
Finland,0.866,18.5012,62.390469547925
France,0.852,14.59405,29.189424980274
Gabon,0.638,6.143663,1.93953010616212
Gambia,0.395,6.174481,1.79677988296495
Georgia,0.684,2.636733,1.68592303218765
Germany,0.872,10.30427,48.7865793807973
Ghana,0.489,5.483176,0.830284033818739
Greece,0.823,2.292947,14.784543712821
Guatemala,0.56,2.875398,3.39174627024502
Guinea,0.338,7.559197,0.402022748744397
Haiti,0.447,1.327544,0.893432988337908
Honduras,0.566,9.136425,2.5974025974026
Hungary,0.784,22.31117,16.6710912469504
Iceland,0.866,11.5195,78.9163682905368
India,0.505,19.10727,1.53787558175083
Indonesia,0.613,12.20369,2.13413573295808
Iran,0.679,8.735305,4.62617511492205
Iraq,0.616,8.374964,0.493260395445494
Ireland,0.87,10.93738,25.8752060620349
Israel,0.863,5.893611,16.876620572258
Italy,0.841,5.34118,28.2075122632402
Jamaica,0.694,0.1023526,6.11974556835631
Japan,0.863,18.02855,46.0835883400544
